source_id,series_id,year,value,unit,status,scope_note
msmt_education_statistics_2024,education_profession_psychologists_wage,2024,47676,CZK_month,official,Average gross monthly wage or salary
msmt_education_statistics_2024,education_profession_coaches_wage,2024,47479,CZK_month,official,Average gross monthly wage or salary
msmt_education_statistics_2024,education_profession_other_wage,2024,46335,CZK_month,official,Average gross monthly wage or salary
msmt_education_statistics_2024,education_profession_nonpedagogical_wage,2024,30266,CZK_month,official,Average gross monthly wage or salary
msmt_regional_education_workforce_2024,education_school_nursery_pedagogical,2024,41867,FTE,official,Pedagogical workers in nursery schools
msmt_regional_education_workforce_2024,education_school_nursery_nonpedagogical,2024,11368,FTE,official,Non-pedagogical workers in nursery schools
msmt_regional_education_workforce_2024,education_school_primary_pedagogical,2024,98498,FTE,official,Pedagogical workers in primary schools
msmt_regional_education_workforce_2024,education_school_primary_nonpedagogical,2024,20663,FTE,official,Non-pedagogical workers in primary schools
msmt_regional_education_workforce_2024,education_school_secondary_pedagogical,2024,45491,FTE,official,Pedagogical workers in secondary schools
msmt_regional_education_workforce_2024,education_school_secondary_nonpedagogical,2024,11145,FTE,official,Non-pedagogical workers in secondary schools
msmt_regional_education_workforce_2024,education_school_conservatory_pedagogical,2024,1038,FTE,official,Pedagogical workers in conservatories
msmt_regional_education_workforce_2024,education_school_conservatory_nonpedagogical,2024,203,FTE,official,Non-pedagogical workers in conservatories
msmt_regional_education_workforce_2024,education_school_vocational_pedagogical,2024,886,FTE,official,Pedagogical workers in higher vocational schools
msmt_regional_education_workforce_2024,education_school_vocational_nonpedagogical,2024,296,FTE,official,Non-pedagogical workers in higher vocational schools
mv_local_government_employment_2024,local_extended_authority_fte,2024,42383,FTE,partial,Employees of municipalities with extended competence
mv_local_government_employment_2024,local_delegated_authority_fte,2024,6682,FTE,partial,Employees of municipalities with an authorised municipal office
mv_local_government_employment_2024,local_basic_authority_fte,2024,20872,FTE,partial,Employees of municipalities with basic competence
mv_local_government_employment_2024,local_prague_fte,2024,6783.5,FTE,partial,Employees of the capital city of Prague
mv_local_government_employment_2024,local_regions_fte,2024,6729.5,FTE,partial,Employees of regional authorities
mv_local_government_employment_2024,local_extended_authority_persons,2024,49325,persons_during_year,partial,People employed during the year
mv_local_government_employment_2024,local_delegated_authority_persons,2024,7911,persons_during_year,partial,People employed during the year
mv_local_government_employment_2024,local_basic_authority_persons,2024,26053,persons_during_year,partial,People employed during the year
mv_local_government_employment_2024,local_prague_persons,2024,7990,persons_during_year,partial,People employed during the year
mv_local_government_employment_2024,local_regions_persons,2024,7731,persons_during_year,partial,People employed during the year
mv_local_government_employment_2024,local_extended_authority_men,2024,15443,persons_during_year,partial,Men employed during the year
mv_local_government_employment_2024,local_extended_authority_women,2024,33882,persons_during_year,partial,Women employed during the year
mv_local_government_employment_2024,local_delegated_authority_men,2024,2838,persons_during_year,partial,Men employed during the year
mv_local_government_employment_2024,local_delegated_authority_women,2024,5073,persons_during_year,partial,Women employed during the year
mv_local_government_employment_2024,local_basic_authority_men,2024,11463,persons_during_year,partial,Men employed during the year
mv_local_government_employment_2024,local_basic_authority_women,2024,14590,persons_during_year,partial,Women employed during the year
mv_local_government_employment_2024,local_prague_men,2024,2073,persons_during_year,partial,Men employed during the year
mv_local_government_employment_2024,local_prague_women,2024,5917,persons_during_year,partial,Women employed during the year
mv_local_government_employment_2024,local_regions_men,2024,2072,persons_during_year,partial,Men employed during the year
mv_local_government_employment_2024,local_regions_women,2024,5659,persons_during_year,partial,Women employed during the year
mv_local_government_employment_2024,local_extended_authority_payroll_czk_m,2024,22130,CZK_million,partial,Gross payroll excluding employer contributions
mv_local_government_employment_2024,local_delegated_authority_payroll_czk_m,2024,3210,CZK_million,partial,Gross payroll excluding employer contributions
mv_local_government_employment_2024,local_basic_authority_payroll_czk_m,2024,8600,CZK_million,partial,Gross payroll excluding employer contributions
mv_local_government_employment_2024,local_prague_payroll_czk_m,2024,4690,CZK_million,partial,Gross payroll excluding employer contributions
mv_local_government_employment_2024,local_regions_payroll_czk_m,2024,4280,CZK_million,partial,Gross payroll excluding employer contributions
mv_local_government_employment_2024,local_extended_authority_leaders,2024,7171,persons_during_year,partial,Workers receiving a management allowance
mv_local_government_employment_2024,local_delegated_authority_leaders,2024,1386,persons_during_year,partial,Workers receiving a management allowance
mv_local_government_employment_2024,local_basic_authority_leaders,2024,1807,persons_during_year,partial,Workers receiving a management allowance
mv_local_government_employment_2024,local_prague_leaders,2024,1342,persons_during_year,partial,Workers receiving a management allowance
mv_local_government_employment_2024,local_regions_leaders,2024,970,persons_during_year,partial,Workers receiving a management allowance
