druh_duchodu_kod,druh_duchodu,pohlavi_kod,pohlavi,referencni_obdobi,vyse_duchodu_kod,vyse_duchodu,pocet_nove_priznanych_duchodu
PK_D,Sirotčí důchod,T,Celkem,2011,I10800T10999,10800-10999,1.0
PK_D,Sirotčí důchod,T,Celkem,2011,I11000T11499,11000-11499,3.0
PK_D,Sirotčí důchod,T,Celkem,2011,I11500T11999,11500-11999,0.0
PK_D,Sirotčí důchod,T,Celkem,2011,I12000T12499,12000-12499,0.0
PK_D,Sirotčí důchod,T,Celkem,2011,I12500T12999,12500-12999,0.0
PK_D,Sirotčí důchod,T,Celkem,2011,I13000T13499,13000-13499,0.0
PK_D,Sirotčí důchod,T,Celkem,2011,I13500T13999,13500-13999,1.0
PK_D,Sirotčí důchod,T,Celkem,2011,I14000T14499,14000-14499,0.0
PK_D,Sirotčí důchod,T,Celkem,2011,I1T2999,1-2999,164.0
PK_D,Sirotčí důchod,T,Celkem,2011,I3000T3499,3000-3499,104.0
PK_D,Sirotčí důchod,T,Celkem,2011,I3500T3999,3500-3999,115.0
PK_D,Sirotčí důchod,T,Celkem,2011,I4000T4199,4000-4199,50.0
PK_D,Sirotčí důchod,T,Celkem,2011,I4200T4399,4200-4399,63.0
PK_D,Sirotčí důchod,T,Celkem,2011,I4400T4599,4400-4599,88.0
PK_D,Sirotčí důchod,T,Celkem,2011,I4600T4799,4600-4799,98.0
PK_D,Sirotčí důchod,T,Celkem,2011,I4800T4999,4800-4999,439.0
PK_D,Sirotčí důchod,T,Celkem,2011,I5000T5199,5000-5199,226.0
PK_D,Sirotčí důchod,T,Celkem,2011,I5200T5399,5200-5399,227.0
PK_D,Sirotčí důchod,T,Celkem,2011,I5400T5599,5400-5599,299.0
PK_D,Sirotčí důchod,T,Celkem,2011,I5600T5799,5600-5799,367.0
PK_D,Sirotčí důchod,T,Celkem,2011,I5800T5999,5800-5999,338.0
PK_D,Sirotčí důchod,T,Celkem,2011,I6000T6199,6000-6199,315.0
PK_D,Sirotčí důchod,T,Celkem,2011,I6200T6399,6200-6399,334.0
PK_D,Sirotčí důchod,T,Celkem,2011,I6400T6599,6400-6599,353.0
PK_D,Sirotčí důchod,T,Celkem,2011,I6600T6799,6600-6799,256.0
PK_D,Sirotčí důchod,T,Celkem,2011,I6800T6999,6800-6999,284.0
PK_D,Sirotčí důchod,T,Celkem,2011,I7000T7199,7000-7199,182.0
PK_D,Sirotčí důchod,T,Celkem,2011,I7200T7399,7200-7399,105.0
PK_D,Sirotčí důchod,T,Celkem,2011,I7400T7599,7400-7599,50.0
PK_D,Sirotčí důchod,T,Celkem,2011,I7600T7799,7600-7799,25.0
PK_D,Sirotčí důchod,T,Celkem,2011,I7800T7999,7800-7999,31.0
PK_D,Sirotčí důchod,T,Celkem,2011,I8000T8199,8000-8199,27.0
PK_D,Sirotčí důchod,T,Celkem,2011,I8200T8399,8200-8399,3.0
PK_D,Sirotčí důchod,T,Celkem,2011,I8400T8599,8400-8599,12.0
PK_D,Sirotčí důchod,T,Celkem,2011,I8600T8799,8600-8799,19.0
PK_D,Sirotčí důchod,T,Celkem,2011,I8800T8999,8800-8999,4.0
PK_D,Sirotčí důchod,T,Celkem,2011,I9000T9199,9000-9199,8.0
PK_D,Sirotčí důchod,T,Celkem,2011,I9200T9399,9200-9399,3.0
PK_D,Sirotčí důchod,T,Celkem,2011,I9400T9599,9400-9599,4.0
PK_D,Sirotčí důchod,T,Celkem,2011,I9600T9799,9600-9799,3.0
PK_D,Sirotčí důchod,T,Celkem,2011,I9800T9999,9800-9999,0.0
PK_D,Sirotčí důchod,T,Celkem,2011,I_GE14500,14500+,1.0
PK_D,Sirotčí důchod,T,Celkem,2011,I_T,Celkem,4606.0
PK_D,Sirotčí důchod,T,Celkem,2011,I_X,Neudáno,0.0
PK_D,Sirotčí důchod,T,Celkem,2012,I10000T10199,10000-10199,11.0
PK_D,Sirotčí důchod,T,Celkem,2012,I10200T10399,10200-10399,1.0
PK_D,Sirotčí důchod,T,Celkem,2012,I10400T10599,10400-10599,2.0
PK_D,Sirotčí důchod,T,Celkem,2012,I10600T10799,10600-10799,0.0
PK_D,Sirotčí důchod,T,Celkem,2012,I10800T10999,10800-10999,4.0
PK_D,Sirotčí důchod,T,Celkem,2012,I11000T11199,11000-11199,1.0
PK_D,Sirotčí důchod,T,Celkem,2012,I11200T11399,11200-11399,0.0
PK_D,Sirotčí důchod,T,Celkem,2012,I11400T11599,11400-11599,1.0
